T-input_Time,T-input,T-output_Time,T-output
0,23.35478838,0,23.50418241
10,23.32930483,10,24.78935397
20,23.288816,20,25.49844291
30,23.28186371,30,25.32824895
40,23.31732833,40,25.06402357
50,23.40777759,50,24.98747227
60,23.54394365,60,25.04078954
70,23.74146252,70,25.1127124
80,23.91977686,80,25.17023318
90,24.13690639,90,25.29555043
100,24.34601946,100,25.4166781
110,24.59254406,110,25.59951945
120,24.77949346,120,25.83281727
130,24.96595492,130,26.0468995
140,25.12425725,140,26.27629643
150,25.27037765,150,26.527558
160,25.39104987,160,26.77294989
170,25.50328324,170,27.08303225
180,25.56397281,180,27.29778721
190,25.64927707,190,27.56351822
200,25.69766879,200,27.82541573
210,25.80542505,210,28.11694347
220,25.88855933,220,28.49725426
230,25.97698057,230,28.57404079
240,26.09943553,240,28.87979073
250,26.20885212,250,29.01039758
260,26.33384071,260,29.05620026
270,26.44001692,270,29.32931432
280,26.54651266,280,29.49269227
290,26.66166257,290,29.69524147
300,26.82556611,300,29.73943955
310,26.94691581,310,29.87303294
320,27.06707778,320,30.0221204
330,27.18525855,330,30.11131819
340,27.35958261,340,30.0937498
350,27.63358522,350,30.49999373
360,27.86609006,360,30.28536017
370,28.04377233,370,30.11621988
380,28.18844706,380,29.7834846
390,28.41566733,390,29.76523555
400,28.81664644,400,29.71649343
410,29.12715312,410,29.80489013
420,29.32117387,420,29.85219
430,29.53278622,430,29.96163023
440,29.73274237,440,30.21560213
450,29.90196546,450,30.41845411
460,30.03924094,460,30.67312987
470,30.15119753,470,30.90566855
480,30.22833081,480,31.09596399
490,30.26209057,490,31.15000363
500,30.35784511,500,30.90622339
510,30.45017141,510,30.86663853
520,30.56910284,520,30.91471089
530,30.67738141,530,30.95169842
540,30.83395078,540,31.00553508
550,30.99413412,550,31.02742724
560,31.15341156,560,31.17883565
570,31.29300564,570,31.67365555
580,31.44505165,580,31.9358989
590,31.59702381,590,32.00004758
600,31.78400151,600,32.09368172
610,31.91304021,610,32.17282055
620,32.06282667,620,32.27179716
630,32.13293119,630,32.38429439
640,32.21437121,640,32.46661436
650,32.44080887,650,33.0559141
660,32.66413704,660,33.3894085
670,32.82132181,670,33.1165308
680,33.02422331,680,33.0978965
690,33.26220836,690,33.15265238
700,33.43973672,700,33.20180696
710,33.5314249,710,33.31286945
720,33.64347349,720,33.44613299
730,33.7469381,730,33.60667566
740,33.83272568,740,33.76973859
750,33.95719767,750,33.87583937
760,34.09394639,760,33.95470271
770,34.2168684,770,34.06019839
780,34.33797602,780,34.15332042
790,34.45651947,790,34.23608049
800,34.57075499,800,34.37241064
810,34.68530611,810,34.5269496
820,34.80187838,820,34.62657736
830,34.92705149,830,34.73711123
840,35.06571939,840,34.85748239
850,35.18615804,850,34.94815857
860,35.29755937,860,35.05319374
870,35.42061149,870,35.17218082
880,35.49789002,880,35.26600066
890,35.61550589,890,35.35388306
900,35.73808588,900,35.43299819
910,35.83792162,910,35.54205855
920,35.92945206,920,35.64051467
930,36.02802855,930,35.80783623
940,36.12010734,940,35.89263139
950,36.37816346,950,36.68449477
960,36.58459442,960,36.59510903
970,36.8014902,970,36.92074256
980,36.73980743,980,37.04911163
990,36.70213672,990,37.204639
1000,36.80727269,1000,37.66195391
1010,36.96727313,1010,37.58677255
1020,37.10452751,1020,37.42455701
1030,37.4382874,1030,37.49076746
1040,37.55592438,1040,37.67043343
1050,37.58148713,1050,37.95637497
1060,37.59974217,1060,38.13050223
1070,37.65159617,1070,38.22877873
1080,37.77944694,1080,38.23483992
1090,37.93429664,1090,38.24650068
1100,38.05871877,1100,38.32210207
1110,38.1396192,1110,38.48994967
1120,38.23257142,1120,38.63018741
1130,38.30760062,1130,38.73565461
1140,38.39922774,1140,38.85996872
1150,38.49509517,1150,38.88886091
1160,38.65063954,1160,39.04792135
1170,38.68430779,1170,39.08747591
1180,38.78239664,1180,39.21277073
1190,38.84359963,1190,39.30074671
1200,38.96108347,1200,39.43994099
1210,39.04574843,1210,39.48044005
